Case,Name,Margin_State,LOLE,LOLH,LOEE
Y2033,NY_A,1,0.59789,1.25996,71.404
Y2033,NY_A,2,0.08513,0.14451,8.163
Y2033,NY_A,3,0.07182,0.11963,6.876
Y2033,NY_A,4,0.07163,0.11938,6.825
Y2033,NY_A,5,0.05221,0.07991,4.525
Y2033,NY_A,6,0.05221,0.07966,4.507
Y2033,NY_A,7,0.05221,0.07966,4.507
Y2033,NY_A,8,6e-05,6e-05,0
Y2033,NY_A,9,6e-05,6e-05,0
Y2033,NY_B,1,6.5089,23.21215,4613.495
Y2033,NY_B,2,3.79506,12.08246,2356.545
Y2033,NY_B,3,3.49535,11.0827,2179.695
Y2033,NY_B,4,2.30419,6.76668,1511.676
Y2033,NY_B,5,1.56728,4.34859,960.057
Y2033,NY_B,6,1.25885,3.40554,750.439
Y2033,NY_B,7,1.18872,3.19919,696.131
Y2033,NY_B,8,0.08105,0.186,30.874
Y2033,NY_B,9,0.0248,0.0533,9.823
Y2033,NY_C,1,0.02642,0.07627,5.28
Y2033,NY_C,2,0.01145,0.02379,1.14
Y2033,NY_C,3,0.0075,0.01742,0.811
Y2033,NY_C,4,0.00508,0.01246,0.358
Y2033,NY_C,5,0.00254,0.00502,0.085
Y2033,NY_C,6,0.00248,0.00254,0.034
Y2033,NY_C,7,0.00248,0.00254,0.021
Y2033,NY_C,8,0,0,0
Y2033,NY_C,9,0,0,0
Y2033,NY_D,1,0.07583,0.1685,2.092
Y2033,NY_D,2,0.00093,0.00193,0.021
Y2033,NY_D,3,0.00025,0.00043,0.008
Y2033,NY_D,4,0.00025,0.00043,0.006
Y2033,NY_D,5,0.00019,0.00031,0.004
Y2033,NY_D,6,0.00019,0.00031,0.004
Y2033,NY_D,7,0.00019,0.00031,0.004
Y2033,NY_D,8,0,0,0
Y2033,NY_D,9,0,0,0
Y2033,NY_E,1,6.23974,22.04348,2926.402
Y2033,NY_E,2,3.69841,11.73529,1448.34
Y2033,NY_E,3,3.3906,10.72523,1289.473
Y2033,NY_E,4,2.20781,6.46371,909.173
Y2033,NY_E,5,1.49602,4.11915,537.676
Y2033,NY_E,6,1.1794,3.18605,425.266
Y2033,NY_E,7,1.11156,2.98514,395.238
Y2033,NY_E,8,0.08099,0.18509,18.238
Y2033,NY_E,9,0.0248,0.0533,6.033
Y2033,NY_F,1,0.77645,0.98952,61.176
Y2033,NY_F,2,0.2177,0.23161,13.451
Y2033,NY_F,3,0.21212,0.22579,12.566
Y2033,NY_F,4,0.16411,0.17583,9.537
Y2033,NY_F,5,0.06659,0.06746,3.417
Y2033,NY_F,6,0.05384,0.05471,2.829
Y2033,NY_F,7,0.05384,0.05471,2.654
Y2033,NY_F,8,0.00359,0.00371,0.08
Y2033,NY_F,9,6e-05,6e-05,0.001
Y2033,NY_G,1,0.85039,2.5005,153.715
Y2033,NY_G,2,0.40595,1.02369,60.401
Y2033,NY_G,3,0.27769,0.71542,46.346
Y2033,NY_G,4,0.23527,0.56969,36.123
Y2033,NY_G,5,0.13283,0.29581,19.465
Y2033,NY_G,6,0.06284,0.14751,10.07
Y2033,NY_G,7,0.06284,0.14751,9.907
Y2033,NY_G,8,0.00129,0.00203,0.054
Y2033,NY_G,9,0,0,0
Y2033,NY_H,1,6.25746,22.17418,1825.82
Y2033,NY_H,2,3.71574,11.84242,918.686
Y2033,NY_H,3,3.42681,10.88057,800.439
Y2033,NY_H,4,2.21016,6.48001,559.922
Y2033,NY_H,5,1.49904,4.15675,370.81
Y2033,NY_H,6,1.1794,3.20468,283.136
Y2033,NY_H,7,1.11156,3.00002,262.04
Y2033,NY_H,8,0.08099,0.18533,11.709
Y2033,NY_H,9,0.0248,0.0533,3.73
Y2033,NY_I,1,6.25813,22.1829,4233.305
Y2033,NY_I,2,3.71963,11.84643,2127.091
Y2033,NY_I,3,3.42439,10.87797,1803.637
Y2033,NY_I,4,2.21023,6.48195,1271.532
Y2033,NY_I,5,1.4991,4.15687,830.778
Y2033,NY_I,6,1.1794,3.20529,619.618
Y2033,NY_I,7,1.11156,3.00063,574.1
Y2033,NY_I,8,0.08105,0.18607,25.966
Y2033,NY_I,9,0.0248,0.0533,8.292
Y2033,NY_J,1,6.25207,22.16485,8449.624
Y2033,NY_J,2,3.61637,11.33059,3306.753
Y2033,NY_J,3,3.24199,10.05142,2968.296
Y2033,NY_J,4,1.61269,4.39262,1298.664
Y2033,NY_J,5,0.78574,1.93356,543.044
Y2033,NY_J,6,0.49606,1.13999,321.405
Y2033,NY_J,7,0.49606,1.13993,313.137
Y2033,NY_J,8,0.06861,0.14267,28.693
Y2033,NY_J,9,0.01579,0.02784,5.217
Y2033,NY_K,1,6.60348,22.69431,4150.411
Y2033,NY_K,2,4.43167,13.99461,2677.127
Y2033,NY_K,3,4.16463,13.08287,2538.008
Y2033,NY_K,4,0.58979,1.5131,310.792
Y2033,NY_K,5,0.50885,1.30129,261.333
Y2033,NY_K,6,0.34465,0.89309,182.461
Y2033,NY_K,7,0.2324,0.617,127.477
Y2033,NY_K,8,0.04473,0.08839,8.899
Y2033,NY_K,9,0.01851,0.03199,2.713
Y2033,PJM,1,0.24515,1.05933,3082.776
Y2033,PJM,2,0.24515,1.05933,3082.775
Y2033,PJM,3,0.24515,1.05933,3082.775
Y2033,PJM,4,0.24515,1.05933,3082.775
Y2033,PJM,5,0.24515,1.05933,3082.775
Y2033,PJM,6,0.24515,1.05933,3082.775
Y2033,PJM,7,0.24515,1.05933,3082.775
Y2033,PJM,8,0.14374,0.55993,1786.558
Y2033,PJM,9,0.13228,0.51933,1641.871
Y2033,NWENGLND,1,1.00815,4.7574,5847.654
Y2033,NWENGLND,2,1.00815,4.7574,5847.649
Y2033,NWENGLND,3,1.00815,4.7574,5847.649
Y2033,NWENGLND,4,1.00815,4.7574,5847.649
Y2033,NWENGLND,5,1.00815,4.7574,5847.649
Y2033,NWENGLND,6,1.00815,4.7574,5847.649
Y2033,NWENGLND,7,1.00815,4.7574,5847.649
Y2033,NWENGLND,8,0.17738,0.65069,570.902
Y2033,NWENGLND,9,0.15709,0.59415,539.703
Y2033,ONTARIO,1,6.67677,35.53677,38239.387
Y2033,ONTARIO,2,6.67677,35.53677,38239.352
Y2033,ONTARIO,3,6.67677,35.53677,38239.352
Y2033,ONTARIO,4,6.67677,35.53677,38239.352
Y2033,ONTARIO,5,6.67677,35.53677,38239.352
Y2033,ONTARIO,6,6.67677,35.53677,38239.352
Y2033,ONTARIO,7,6.67677,35.53677,38239.352
Y2033,ONTARIO,8,0.1613,0.53351,469.494
Y2033,ONTARIO,9,0.13136,0.45976,394.669
Y2033,HYDQUE,1,1.27278,3.68444,4503.567
Y2033,HYDQUE,2,1.21451,3.29395,3875.879
Y2033,HYDQUE,3,1.20359,3.25085,3768.051
Y2033,HYDQUE,4,1.17803,3.09999,3482.101
Y2033,HYDQUE,5,1.15787,2.99145,3225.268
Y2033,HYDQUE,6,1.14925,2.94604,3130.977
Y2033,HYDQUE,7,1.14906,2.94566,3126.197
Y2033,HYDQUE,8,0.12486,0.39564,241.129
Y2033,HYDQUE,9,0.12486,0.39557,240.916
Y2033,NY_SALES,1,6.2304,22.01875,861.784
Y2033,NY_SALES,2,3.69835,11.73571,446.799
Y2033,NY_SALES,3,3.40954,10.7816,414.84
Y2033,NY_SALES,4,2.20775,6.46419,276.707
Y2033,NY_SALES,5,1.49663,4.14384,180.767
Y2033,NY_SALES,6,1.1794,3.20013,137.786
Y2033,NY_SALES,7,1.11156,2.99741,126.933
Y2033,NY_SALES,8,0.08093,0.18502,5.436
Y2033,NY_SALES,9,0.02473,0.05318,1.581
Y2033,NY_J3,1,0,0,0
Y2033,NY_J3,2,0,0,0
Y2033,NY_J3,3,0,0,0
Y2033,NY_J3,4,0,0,0
Y2033,NY_J3,5,0,0,0
Y2033,NY_J3,6,0,0,0
Y2033,NY_J3,7,0,0,0
Y2033,NY_J3,8,0,0,0
Y2033,NY_J3,9,0,0,0
Y2033,NY_J4,1,0,0,0
Y2033,NY_J4,2,0,0,0
Y2033,NY_J4,3,0,0,0
Y2033,NY_J4,4,0,0,0
Y2033,NY_J4,5,0,0,0
Y2033,NY_J4,6,0,0,0
Y2033,NY_J4,7,0,0,0
Y2033,NY_J4,8,0,0,0
Y2033,NY_J4,9,0,0,0
Y2033,NY_J5,1,1.19693,4.06462,73.9
Y2033,NY_J5,2,0.69257,1.99967,24.178
Y2033,NY_J5,3,0.62944,1.84484,21.715
Y2033,NY_J5,4,0.37334,0.94549,9.498
Y2033,NY_J5,5,0.22831,0.56625,4.935
Y2033,NY_J5,6,0.17775,0.4109,3.022
Y2033,NY_J5,7,0.16427,0.3734,2.569
Y2033,NY_J5,8,0.0011,0.00185,0.03
Y2033,NY_J5,9,0.00025,0.00043,0.003
Y2033,NY_J6,1,0.56705,2.17548,162.981
Y2033,NY_J6,2,0.38158,1.36019,74.865
Y2033,NY_J6,3,0.35386,1.26443,69.121
Y2033,NY_J6,4,0.2656,0.85881,39.036
Y2033,NY_J6,5,0.20306,0.58385,23.517
Y2033,NY_J6,6,0.16899,0.46516,16.489
Y2033,NY_J6,7,0.16101,0.43349,14.961
Y2033,NY_J6,8,6e-05,6e-05,0.001
Y2033,NY_J6,9,0,0,0
Y2033,NY_K1,1,0,0,0
Y2033,NY_K1,2,0,0,0
Y2033,NY_K1,3,0,0,0
Y2033,NY_K1,4,0,0,0
Y2033,NY_K1,5,0,0,0
Y2033,NY_K1,6,0,0,0
Y2033,NY_K1,7,0,0,0
Y2033,NY_K1,8,0,0,0
Y2033,NY_K1,9,0,0,0
Y2033,NY_K2,1,0.34241,0.948,42.578
Y2033,NY_K2,2,0.2477,0.61902,26.593
Y2033,NY_K2,3,0.24503,0.60727,25.603
Y2033,NY_K2,4,0.06172,0.16479,3.463
Y2033,NY_K2,5,0.03847,0.09443,1.711
Y2033,NY_K2,6,0.02804,0.06819,1.158
Y2033,NY_K2,7,0.0255,0.05942,1.029
Y2033,NY_K2,8,0.00062,0.00205,0.065
Y2033,NY_K2,9,0.0005,0.0013,0.014
Y2033,PJM_RECO,1,0,0,0
Y2033,PJM_RECO,2,0,0,0
Y2033,PJM_RECO,3,0,0,0
Y2033,PJM_RECO,4,0,0,0
Y2033,PJM_RECO,5,0,0,0
Y2033,PJM_RECO,6,0,0,0
Y2033,PJM_RECO,7,0,0,0
Y2033,PJM_RECO,8,0,0,0
Y2033,PJM_RECO,9,0,0,0
Y2033,HMRCTY,1,0,0,0
Y2033,HMRCTY,2,0,0,0
Y2033,HMRCTY,3,0,0,0
Y2033,HMRCTY,4,0,0,0
Y2033,HMRCTY,5,0,0,0
Y2033,HMRCTY,6,0,0,0
Y2033,HMRCTY,7,0,0,0
Y2033,HMRCTY,8,0,0,0
Y2033,HMRCTY,9,0,0,0
Y2033,PJM_J2,1,0,0,0
Y2033,PJM_J2,2,0,0,0
Y2033,PJM_J2,3,0,0,0
Y2033,PJM_J2,4,0,0,0
Y2033,PJM_J2,5,0,0,0
Y2033,PJM_J2,6,0,0,0
Y2033,PJM_J2,7,0,0,0
Y2033,PJM_J2,8,0,0,0
Y2033,PJM_J2,9,0,0,0
Y2033,CHTEAGAY,1,0,0,0
Y2033,CHTEAGAY,2,0,0,0
Y2033,CHTEAGAY,3,0,0,0
Y2033,CHTEAGAY,4,0,0,0
Y2033,CHTEAGAY,5,0,0,0
Y2033,CHTEAGAY,6,0,0,0
Y2033,CHTEAGAY,7,0,0,0
Y2033,CHTEAGAY,8,0,0,0
Y2033,CHTEAGAY,9,0,0,0
Y2033,PHASE_2,1,0,0,0
Y2033,PHASE_2,2,0,0,0
Y2033,PHASE_2,3,0,0,0
Y2033,PHASE_2,4,0,0,0
Y2033,PHASE_2,5,0,0,0
Y2033,PHASE_2,6,0,0,0
Y2033,PHASE_2,7,0,0,0
Y2033,PHASE_2,8,0,0,0
Y2033,PHASE_2,9,0,0,0
Y2033,_NYCA_,1,7.51864,26.68875,27633.965
Y2033,_NYCA_,2,4.87403,15.67284,13490.153
Y2033,_NYCA_,3,4.58504,14.68534,12177.433
Y2033,_NYCA_,4,2.53935,7.45509,6243.314
Y2033,_NYCA_,5,1.77549,4.96787,3742.126
Y2033,_NYCA_,6,1.41155,3.87013,2758.224
Y2033,_NYCA_,7,1.30901,3.55865,2530.707
Y2033,_NYCA_,8,0.08759,0.19731,130.044
Y2033,_NYCA_,9,0.03055,0.06029,37.406
Y2033,_PJM_,1,0.24515,1.05933,3082.776
Y2033,_PJM_,2,0.24515,1.05933,3082.775
Y2033,_PJM_,3,0.24515,1.05933,3082.775
Y2033,_PJM_,4,0.24515,1.05933,3082.775
Y2033,_PJM_,5,0.24515,1.05933,3082.775
Y2033,_PJM_,6,0.24515,1.05933,3082.775
Y2033,_PJM_,7,0.24515,1.05933,3082.775
Y2033,_PJM_,8,0.14374,0.55993,1786.558
Y2033,_PJM_,9,0.13228,0.51933,1641.871
Y2033,_ISONE_,1,1.00815,4.7574,5847.654
Y2033,_ISONE_,2,1.00815,4.7574,5847.649
Y2033,_ISONE_,3,1.00815,4.7574,5847.649
Y2033,_ISONE_,4,1.00815,4.7574,5847.649
Y2033,_ISONE_,5,1.00815,4.7574,5847.649
Y2033,_ISONE_,6,1.00815,4.7574,5847.649
Y2033,_ISONE_,7,1.00815,4.7574,5847.649
Y2033,_ISONE_,8,0.17738,0.65069,570.902
Y2033,_ISONE_,9,0.15709,0.59415,539.703
Y2033,_IESO_,1,6.67677,35.53677,38239.387
Y2033,_IESO_,2,6.67677,35.53677,38239.352
Y2033,_IESO_,3,6.67677,35.53677,38239.352
Y2033,_IESO_,4,6.67677,35.53677,38239.352
Y2033,_IESO_,5,6.67677,35.53677,38239.352
Y2033,_IESO_,6,6.67677,35.53677,38239.352
Y2033,_IESO_,7,6.67677,35.53677,38239.352
Y2033,_IESO_,8,0.1613,0.53351,469.494
Y2033,_IESO_,9,0.13136,0.45976,394.669
Y2033,_HQ_,1,1.27278,3.68444,4503.567
Y2033,_HQ_,2,1.21451,3.29395,3875.879
Y2033,_HQ_,3,1.20359,3.25085,3768.051
Y2033,_HQ_,4,1.17803,3.09999,3482.101
Y2033,_HQ_,5,1.15787,2.99145,3225.268
Y2033,_HQ_,6,1.14925,2.94604,3130.977
Y2033,_HQ_,7,1.14906,2.94566,3126.197
Y2033,_HQ_,8,0.12486,0.39564,241.129
Y2033,_HQ_,9,0.12486,0.39557,240.916
Y2033,NYBA,1,7.48662,26.56873,26492.723
Y2033,NYBA,2,4.83946,15.53651,12917.72
Y2033,NYBA,3,4.55107,14.53471,11646.153
Y2033,NYBA,4,2.53304,7.44624,5914.609
Y2033,NYBA,5,1.77159,4.95471,3531.195
Y2033,NYBA,6,1.40907,3.86765,2599.769
Y2033,NYBA,7,1.30659,3.55623,2385.216
Y2033,NYBA,8,0.08759,0.19731,124.512
Y2033,NYBA,9,0.03055,0.06029,35.808
Y2033,ZONE_G2J,1,6.27123,22.27818,14736.365
Y2033,ZONE_G2J,2,3.73938,11.9171,6437.108
Y2033,ZONE_G2J,3,3.44561,10.94517,5640.434
Y2033,ZONE_G2J,4,2.21895,6.50601,3175.74
Y2033,ZONE_G2J,5,1.50394,4.16764,1769.033
Y2033,ZONE_G2J,6,1.18181,3.21304,1237.251
Y2033,ZONE_G2J,7,1.11398,3.00838,1161.754
Y2033,ZONE_G2J,8,0.08105,0.18692,66.452
Y2033,ZONE_G2J,9,0.0248,0.05355,17.242
Y2033,NY_SENY,1,7.2496,25.53049,18929.352
Y2033,NY_SENY,2,4.78128,15.33016,9140.829
Y2033,NY_SENY,3,4.49929,14.38115,8204.044
Y2033,NY_SENY,4,2.43672,7.14587,3489.995
Y2033,NY_SENY,5,1.70107,4.7533,2032.076
Y2033,NY_SENY,6,1.32968,3.66413,1420.869
Y2033,NY_SENY,7,1.22943,3.35506,1290.259
Y2033,NY_SENY,8,0.08759,0.19731,75.416
Y2033,NY_SENY,9,0.03055,0.06029,19.969
Y2033,PJM,1,7.49619,26.91383,29575.498
Y2033,PJM,2,4.85626,15.98835,16000.494
Y2033,PJM,3,4.57108,14.99781,14728.928
Y2033,PJM,4,2.5644,8.02738,8997.383
Y2033,PJM,5,1.8216,5.61581,6613.969
Y2033,PJM,6,1.4717,4.57042,5682.545
Y2033,PJM,7,1.37618,4.27628,5467.991
Y2033,PJM,8,0.15726,0.58908,1911.07
Y2033,PJM,9,0.13949,0.52847,1677.679
Y2033,NE,1,7.80367,29.52689,32340.375
Y2033,NE,2,5.26379,18.91289,18765.367
Y2033,NE,3,4.99364,17.96008,17493.803
Y2033,NE,4,3.09206,11.25342,11762.258
Y2033,NE,5,2.43085,8.99268,9378.843
Y2033,NE,6,2.123,8.01444,8447.418
Y2033,NE,7,2.02793,7.72668,8232.864
Y2033,NE,8,0.19694,0.68027,695.414
Y2033,NE,9,0.16326,0.60057,575.511
Y2033,IESO,1,11.41483,53.73104,64732.113
Y2033,IESO,2,9.5236,45.40088,51157.07
Y2033,IESO,3,9.31413,44.71816,49885.504
Y2033,IESO,4,7.83534,39.4934,44153.953
Y2033,IESO,5,7.41284,38.04377,41770.543
Y2033,IESO,6,7.24067,37.4257,40839.117
Y2033,IESO,7,7.18066,37.22591,40624.566
